Date,Open,High,Low,Close, Volume,Turnover
20100705,2617.32,2636.43,2594.31,2625.92,3985208053.00,387.75
20100706,2618.39,2681.70,2618.39,2681.70,5048892618.00,497.70
20100707,2681.32,2704.60,2669.64,2704.60,4779454432.00,489.34
20100708,2714.22,2721.93,2686.34,2695.62,4397438777.00,452.95
20100709,2698.31,2782.90,2680.89,2770.52,7264142585.00,755.74
20100712,2770.53,2807.96,2770.53,2797.56,7072459200.00,754.93
20100713,2772.27,2772.27,2738.92,2758.26,5626090145.00,586.37
20100714,2764.00,2803.86,2764.00,2776.92,6031473812.00,627.49
20100715,2773.24,2802.40,2728.02,2728.02,5327172437.00,539.73
20100716,2715.28,2735.96,2690.65,2735.96,4630794341.00,465.39
20100719,2711.07,2808.60,2711.07,2800.68,6472534008.00,697.47
20100720,2803.82,2864.62,2803.82,2863.67,9144051930.00,978.19
20100721,2866.74,2886.51,2860.31,2871.03,8942296703.00,931.07
20100722,2861.51,2904.81,2861.51,2904.81,7619358031.00,780.33
20100723,2910.33,2923.46,2890.99,2914.34,7947795448.00,847.74
20100726,2919.46,2936.58,2901.46,2936.58,6858270058.00,744.66
20100727,2929.57,2939.89,2919.04,2925.52,6512714644.00,723.41
20100728,2925.88,2994.85,2915.22,2994.85,10028335225.00,1045.85
20100729,2998.86,3016.39,2988.93,3009.46,10718673300.00,1108.10
20100730,3002.86,3005.24,2975.68,3000.24,7255663186.00,793.87
20100802,3000.47,3053.98,3000.47,3052.21,8698632991.00,947.73
20100803,3059.41,3062.86,2998.47,2998.47,9550480369.00,1055.63
20100804,2989.60,3014.68,2953.05,3014.68,8685034606.00,950.39
20100805,3013.54,3021.39,2981.47,2999.67,8801838775.00,982.17
20100806,2996.76,3050.90,2975.74,3050.90,9643726397.00,1082.79
20100809,3048.93,3077.29,3047.14,3076.09,9407549037.00,1103.00
20100810,3077.29,3077.29,2981.59,2981.91,9810273989.00,1108.89
20100811,2971.72,3013.80,2971.72,3002.99,6696783719.00,768.95
